窃听风暴,"导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&nbsp;&nbsp;&n...<br>
                            2006&nbsp;/&nbsp;德国&nbsp;/&nbsp;剧情 悬疑
                        </p>

                        
                        <div>
                            <span class=""rating45-t""></span>
                            <span class=""rating_num"" property=""v:average"">9.2</span>
                            <span property=""v:best"" content=""10.0""></span>
                            <span>620358人评价</span>
                        </div>

                            <p class=""quote"">
                                <span>别样人生。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em>70</em>
                    <a href=""https://movie.douban.com/subject/1294408/"">
                        <img width=""100"" alt=""音乐之声"" src=""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg"">
                    </a>
                </div>
                <div class=""info"">
                    <div class=""hd"">
                        <a href=""https://movie.douban.com/subject/1294408/"">
                            <span class=""title"">音乐之声</span>
                                    <span class=""title"">&nbsp;/&nbsp;The Sound of Music</span>
                                <span class=""other"">&nbsp;/&nbsp;仙乐飘飘处处闻(港)  /  真善美(台)</span>
                        </a>


                            <span class=""playable"">[可播放]</span>
                    </div>
                    <div class=""bd"">
                        <p>
                            导演: 罗伯特·怀斯 Robert Wise",1965
功夫,导演: 周星驰 Stephen Chow,2004
西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,2000
哈利·波特与阿兹卡班的囚徒,导演: 阿方索·卡隆 Alfonso Cuarón,2004
阿凡达,导演: 詹姆斯·卡梅隆 James Cameron,2009
看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo,2016
拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1998
沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme,1991
小鞋子,导演: 马基德·马基迪 Majid Majidi,1997
飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman,1975
布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson,2014
蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004
禁闭岛,导演: Martin Scorsese,2010
致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan,2006
心灵捕手,导演: 格斯·范·桑特 Gus Van Sant,1997
低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,1994
超脱,导演: 托尼·凯耶 Tony Kaye,2011
哈利·波特与密室,导演: Chris Columbus,2002
喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999
摩登时代,导演: 查理·卓别林 Charles Chaplin,1936
杀人回忆,导演: 奉俊昊 Joon-ho Bong,2003
致命ID,导演: 詹姆斯·曼高德 James Mangold,2003
一一,导演: 杨德昌 Edward Yang,2000
春光乍泄,导演: 王家卫 Kar Wai Wong,1997
还有明天,导演: 宝拉·柯特莱西 Paola Cortellesi,2023
海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos,2009
加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski,2003
美国往事,导演: 赛尔乔·莱翁内 Sergio Leone,1984
红辣椒,导演: 今敏 Satoshi Kon,2006
七宗罪,导演: 大卫·芬奇 David Fincher,1995
唐伯虎点秋香,导演: 李力持 Lik-Chi Lee,1993
狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg,2012
幽灵公主,导演: 宫崎骏 Hayao Miyazaki,1997
甜蜜蜜,导演: 陈可辛 Peter Chan,1996
蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan,2012
寄生虫,导演: 奉俊昊 Joon-ho Bong,2019
7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee,2013
天书奇谭,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983(中国大陆) / 2021
超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014
爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater,1995
第六感,导演: M·奈特·沙马兰 M. Night Shyamalan,1999
被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima,2006
爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater,2004
重庆森林,导演: 王家卫 Kar Wai Wong,1994
茶馆,导演: 谢添 Tian Xie,1982(中国大陆)
未麻的部屋,导演: 今敏 Satoshi Kon,1997
入殓师,导演: 泷田洋二郎 Yôjirô Takita,2008
哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell,2005
剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton,1990
菊次郎的夏天,导演: 北野武 Takeshi Kitano,1999
借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi,2010
断背山,导演: 李安 Ang Lee,2005
勇敢的心,导演: 梅尔·吉布森 Mel Gibson,1995
头脑特工队,"导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen&nbsp;&nbsp;&nb...<br>
                            2015&nbsp;/&nbsp;美国&nbsp;/&nbsp;喜剧 动画 冒险
                        </p>

                        
                        <div>
                            <span class=""rating45-t""></span>
                            <span class=""rating_num"" property=""v:average"">8.8</span>
                            <span property=""v:best"" content=""10.0""></span>
                            <span>778443人评价</span>
                        </div>

                            <p class=""quote"">
                                <span>愿我们都不用长大，每一座城堡都能永远存在。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em>124</em>
                    <a href=""https://movie.douban.com/subject/10577869/"">
                        <img width=""100"" alt=""时空恋旅人"" src=""https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg"">
                    </a>
                </div>
                <div class=""info"">
                    <div class=""hd"">
                        <a href=""https://movie.douban.com/subject/10577869/"">
                            <span class=""title"">时空恋旅人</span>
                                    <span class=""title"">&nbsp;/&nbsp;About Time</span>
                                <span class=""other"">&nbsp;/&nbsp;回到最爱的一天(港)  /  真爱每一天(台)</span>
                        </a>


                            <span class=""playable"">[可播放]</span>
                    </div>
                    <div class=""bd"">
                        <p>
                            导演: 理查德·柯蒂斯 Richard Curtis",2013
消失的爱人,导演: 大卫·芬奇 David Fincher,2014
无人知晓,导演: 是枝裕和 Hirokazu Koreeda,2004
倩女幽魂,导演: 程小东 Siu-Tung Ching,1987
驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010
花样年华,导演: 王家卫 Kar Wai Wong,2000
完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood,1993
阳光灿烂的日子,导演: 姜文 Wen Jiang,1994
新世界,导演: 朴勋政 Hoon-jung Park,2013
傲慢与偏见,导演: 乔·怀特 Joe Wright,2005
小森林 夏秋篇,导演: 森淳一 Junichi Mori,2014
天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,2001
一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm,2015
玩具总动员3,导演: 李·昂克里奇 Lee Unkrich,2010
怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001
侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo,1995
教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990
色，戒,导演: 李安 Ang Lee,2007
请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino,2017
哪吒闹海,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979
幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2004
被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2012
九品芝麻官,导演: 王晶 Jing Wong,1994
小森林 冬春篇,导演: 森淳一 Junichi Mori,2015
釜山行,导演: 延尚昊 Sang-ho Yeon,2016
神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010
萤火之森,导演: 大森贵弘 Takahiro Omori,2011
喜宴,导演: 李安 Ang Lee,1993
告白,导演: 中岛哲也 Tetsuya Nakashima,2010
玛丽和麦克斯,导演: 亚当·艾略特 Adam Elliot,2009
头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2018
七武士,导演: 黑泽明 Akira Kurosawa,1954
模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum,2014
大鱼,导演: 蒂姆·波顿 Tim Burton,2003
惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,1960
射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau,1993
血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson,2016
我是山姆,导演: 杰茜·尼尔森 Jessie Nelson,2001
你的名字。,导演: 新海诚 Makoto Shinkai,2016
阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang,2011
恐怖直播,导演: 金秉祐 Byeong-woo Kim,2013
背靠背，脸对脸,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994
